article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
195417638,THREE DAYS LONDON-SYDNEY.,1005,"Daily Examiner (Grafton, NSW : 1915 - 1954)",6,1933-11-09,Article,360,N,0,http://nla.gov.au/nla.news-article195417638,http://trove.nla.gov.au/newspaper/page/21814095
183556614,THREE DAYS London-Sydney,903,Glen Innes Examiner (NSW : 1908 - 1954),3,1933-11-11,Article,503,N,0,http://nla.gov.au/nla.news-article183556614,http://trove.nla.gov.au/newspaper/page/20973101
57123619,London-Sydney Under 3 Days,77,"Morning Bulletin (Rockhampton, Qld. : 1878 - 1954)",4,1951-10-18,Article,73,N,0,http://nla.gov.au/nla.news-article57123619,http://trove.nla.gov.au/newspaper/page/5493903
75332080,London-Sydney Under 3 Days,187,"The Central Queensland Herald (Rockhampton, Qld. : 1930 - 1956)",15,1951-10-18,Article,69,N,0,http://nla.gov.au/nla.news-article75332080,http://trove.nla.gov.au/newspaper/page/7476905
147797745,London-Sydney Just Two Days,732,Maryborough Chronicle (Qld. : 1947 - 1954),2,1950-02-01,Article,80,N,0,http://nla.gov.au/nla.news-article147797745,http://trove.nla.gov.au/newspaper/page/17908152
193605167,"LONDON-SYDNEY, SEVEN DAYS. LONDON, Thursday.",1005,"Daily Examiner (Grafton, NSW : 1915 - 1954)",5,1937-06-12,Article,51,N,0,http://nla.gov.au/nla.news-article193605167,http://trove.nla.gov.au/newspaper/page/21766380
113859537,"LONDON IN 26 DAYS. Sydney, Friday.",421,The Forbes Advocate (NSW : 1911 - 1954),4,1913-04-18,Article,40,N,0,http://nla.gov.au/nla.news-article113859537,http://trove.nla.gov.au/newspaper/page/11204487
234140529,London to Sydney--Four Days.,1221,The Kyogle Examiner (NSW : 1912; 1914 - 1915; 1917 - 1954),2,1919-01-11,Article,167,N,0,http://nla.gov.au/nla.news-article234140529,http://trove.nla.gov.au/newspaper/page/25354575
195483764,LONDON--SYDNEY IN THREE DAYS,1007,"Tweed Daily (Murwillumbah, NSW : 1914 - 1949)",3,1938-07-19,Article,70,N,0,http://nla.gov.au/nla.news-article195483764,http://trove.nla.gov.au/newspaper/page/21611080
234318821,"LONDON IN 14 DAYS. SYDNEY, Tuesday.",1218,The Young Chronicle (NSW : 1902 - 1910; 1913 - 1915; 1924 - 1934; 1936 - 1940),2,1928-04-17,Article,40,N,0,http://nla.gov.au/nla.news-article234318821,http://trove.nla.gov.au/newspaper/page/25351170
233796174,LONDON TO SYDNEY--27 DAYS.,1219,Casino and Kyogle Courier and North Coast Advertiser (NSW : 1904 - 1932),2,1931-05-16,Article,92,N,0,http://nla.gov.au/nla.news-article233796174,http://trove.nla.gov.au/newspaper/page/25267639
143665896,"TEN DAYS IN SYDNEY LONDON, Tuesday.",687,"Daily Advertiser (Wagga Wagga, NSW : 1911 - 1954)",4,1937-11-17,Article,70,N,0,http://nla.gov.au/nla.news-article143665896,http://trove.nla.gov.au/newspaper/page/15648174
228277914,SYDNEY TO LONDON. Within Thirty Days.,1178,"The Australian Star (Sydney, NSW : 1887 - 1909)",5,1901-10-14,Article,129,N,0,http://nla.gov.au/nla.news-article228277914,http://trove.nla.gov.au/newspaper/page/24853739
226986940,LONDON TO SYDNEY: 21 DAYS.,1183,Dubbo Dispatch and Wellington Independent (NSW : 1887 - 1932),4,1913-06-27,Article,350,N,0,http://nla.gov.au/nla.news-article226986940,http://trove.nla.gov.au/newspaper/page/24893260
178535737,"TWO AND A HALF DAYS London-Sydney SYDNEY, Tuesday",903,Glen Innes Examiner (NSW : 1908 - 1954),1,1939-04-04,Article,42,N,0,http://nla.gov.au/nla.news-article178535737,http://trove.nla.gov.au/newspaper/page/20792361
126115289,"SYDNEY TO LONDON IN 3½ DAYS! Sydney, Thursday.",501,The Richmond River Herald and Northern Districts Advertiser (NSW : 1886 - 1942),5,1938-10-07,Article,57,N,0,http://nla.gov.au/nla.news-article126115289,http://trove.nla.gov.au/newspaper/page/13652813
234062573,"SYDNEY-LONDON IN 912 DAYS. SYDNEY, Tuesday.",1220,"Macleay Argus (Kempsey, NSW : 1885 - 1907; 1909 - 1910; 1912 - 1913; 1915 - 1916; 1918 - 1954)",3,1925-09-01,Article,96,N,0,http://nla.gov.au/nla.news-article234062573,http://trove.nla.gov.au/newspaper/page/25286062
68455646,"LONDON TO SYDNEY IN EIGHT DAYS. SYDNEY, Tuesday.",46,"Advocate (Burnie, Tas. : 1890 - 1954)",7,1937-01-13,Article,88,N,0,http://nla.gov.au/nla.news-article68455646,http://trove.nla.gov.au/newspaper/page/5630048
54790405,"IN SEVEN DAYS London—Sydney Air Mail SYDNEY, August 20.",77,"Morning Bulletin (Rockhampton, Qld. : 1878 - 1954)",8,1935-08-21,Article,93,N,0,http://nla.gov.au/nla.news-article54790405,http://trove.nla.gov.au/newspaper/page/5376880
114738370,"OPENING OF REGULAR TELEGRAPHIC COMMUNICATION WITH ENGLAND Sydney to London in Four to Five Days First Day, TO-MORROW, Tuesday 25th June.",508,"Evening News (Sydney, NSW : 1869 - 1931)",2,1872-06-24,Article,249,N,0,http://nla.gov.au/nla.news-article114738370,http://trove.nla.gov.au/newspaper/page/11600736
198771586,"DAY GAINED WHEN FLYING WEST WITH SUN SYDNEY LONDON TRIP REDUCED TO 12 DAYS CAPT. BRAIN'S EXPLANATION. BRISBANE, Saturday.",943,"The Evening News (Rockhampton, Qld. : 1924 - 1941)",1,1937-04-03,Article,302,N,0,http://nla.gov.au/nla.news-article198771586,http://trove.nla.gov.au/newspaper/page/21931321
239585176,"LONDON TO SYDNEY. FOUR DAYS' FLIGHT PREDICTED. LONDON, Tuesday.",1297,"The Daily Telegraph (Sydney, NSW : 1883 - 1930)",9,1919-01-08,Article,59,N,0,http://nla.gov.au/nla.news-article239585176,http://trove.nla.gov.au/newspaper/page/25780414
67718099,"London- Sydney in 27 Days. LONDON, Wednesday.",46,"Advocate (Burnie, Tas. : 1890 - 1954)",1,1931-05-15,Article,91,N,0,http://nla.gov.au/nla.news-article67718099,http://trove.nla.gov.au/newspaper/page/5404052
224237347,"SIX DAYS LONDON TO SYDNEY LONDON, Monday.",1180,"The Sun (Sydney, NSW : 1910 - 1954)",14 S,1930-09-30,Article,88,N,0,http://nla.gov.au/nla.news-article224237347,http://trove.nla.gov.au/newspaper/page/24491999
180949609,"LONDON TO SYDNEY. TWENTY-SIX DAYS' ROUTE. LONDON, Monday.",893,"Daily Standard (Brisbane, Qld. : 1912 - 1936)",5 S,1914-04-21,Article,72,N,0,http://nla.gov.au/nla.news-article180949609,http://trove.nla.gov.au/newspaper/page/20820028
247556080,"London-Sydney In 2 12 Days LONDON, Wednesday.",1347,"The Daily Telegraph (Sydney, NSW : 1931 - 1954)",3,1939-03-30,Article,146,N,0,http://nla.gov.au/nla.news-article247556080,http://trove.nla.gov.au/newspaper/page/27225257
45938385,"A TEMPESTUOUS VOYAGE 102 DAYS FROM LONDON Sydney, Tuesday.",53,"Barrier Miner (Broken Hill, NSW : 1888 - 1954)",3,1926-05-25,Article,25,N,0,http://nla.gov.au/nla.news-article45938385,http://trove.nla.gov.au/newspaper/page/3279967
245999636,FAST TRAVELLING LONDON TO SYDNEY-- 29 DAYS,1297,"The Daily Telegraph (Sydney, NSW : 1883 - 1930)",5,1923-11-22,Article,103,N,0,http://nla.gov.au/nla.news-article245999636,http://trove.nla.gov.au/newspaper/page/26879113
115603740,"London-Sydney in 5 Days. BRISBANE, July 31.",378,"Queensland Times (Ipswich, Qld. : 1909 - 1954)",7 S,1938-08-01,Article,87,N,0,http://nla.gov.au/nla.news-article115603740,http://trove.nla.gov.au/newspaper/page/9919606
193996902,LONDON SYDNEY IN FIVE DAYS Dutch Service Extension,1007,"Tweed Daily (Murwillumbah, NSW : 1914 - 1949)",2,1938-08-01,Article,90,N,0,http://nla.gov.au/nla.news-article193996902,http://trove.nla.gov.au/newspaper/page/21611826
53241336,FROM LONDON TO SYDNEY IN TWENTY-SEVEN DAYS.,77,"Morning Bulletin (Rockhampton, Qld. : 1878 - 1954)",7,1910-05-28,Article,140,N,0,http://nla.gov.au/nla.news-article53241336,http://trove.nla.gov.au/newspaper/page/5569550
249534150,LONDON TO SYDNEY In Three Days,1366,Yass Tribune-Courier (NSW : 1929 - 1954),3,1933-10-30,Article,339,N,0,http://nla.gov.au/nla.news-article249534150,http://trove.nla.gov.au/newspaper/page/27263437
134257884,London to Sydney in Three Days,356,Newcastle Morning Herald and Miners' Advocate (NSW : 1876 - 1954),2,1944-09-19,Article,106,N,0,http://nla.gov.au/nla.news-article134257884,http://trove.nla.gov.au/newspaper/page/10083001
138708766,Sydney to London in Six Days.,584,Myrtleford Mail and Whorouly Witness (Vic. : 1914 - 1918),7,1918-10-10,Article,87,N,0,http://nla.gov.au/nla.news-article138708766,http://trove.nla.gov.au/newspaper/page/16461885
