article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
126413672,NEW RECORD Perth to Sydney IN 9 1/2 HOURS SYDNEY. Wednesday.,492,The Maitland Daily Mercury (NSW : 1894 - 1939),4,1934-09-12,Article,260,N,0,http://nla.gov.au/nla.news-article126413672,http://trove.nla.gov.au/newspaper/page/13538177
138971324,"PERTH TO SYDNEY Smithy's Flight 9 Hours 32 Minutes SYDNEY, Wednesday.",639,Cootamundra Herald (NSW : 1877 - 1954),1,1934-09-12,Article,88,N,0,http://nla.gov.au/nla.news-article138971324,http://trove.nla.gov.au/newspaper/page/15833938
142686919,"NEW AIR SERVICE SYDNEY TO PERTH 24 HOURS' FLYING TIME SYDNEY, Thursday.",687,"Daily Advertiser (Wagga Wagga, NSW : 1911 - 1954)",1,1930-09-05,Article,74,N,0,http://nla.gov.au/nla.news-article142686919,http://trove.nla.gov.au/newspaper/page/15638133
143656906,"CYCLING OPPERMAN'S RIDE PERTH TO SYDNEY TWENTY-FIVE HOURS AHEAD OF RECORD SYDNEY, Sunday.",687,"Daily Advertiser (Wagga Wagga, NSW : 1911 - 1954)",2,1937-11-08,Article,267,N,0,http://nla.gov.au/nla.news-article143656906,http://trove.nla.gov.au/newspaper/page/15648106
159203182,"PERTH TO SYDNEY A Successful Flight 2300 Miles in 30 Hours SYDNEY, Monday.",650,"National Advocate (Bathurst, NSW : 1889 - 1954)",2,1927-02-01,Article,151,N,0,http://nla.gov.au/nla.news-article159203182,http://trove.nla.gov.au/newspaper/page/17107840
193162928,"SYDNEY PERTH. AEROPLANE AND TRAIN. 35 HOURS' TRIP. Sydney,Friday.",985,The Armidale Express and New England General Advertiser (NSW : 1856 - 1861; 1863 - 1889; 1891 - 1954),1,1929-10-04,Article,28,N,0,http://nla.gov.au/nla.news-article193162928,http://trove.nla.gov.au/newspaper/page/22114986
193306817,"BIRTLES' GREAT RIDE PERTH TO SYDNEY IN 31 DAYS 2 HOURS. SYDNEY, Thursday.",860,"Daily Post (Hobart, Tas. : 1908 - 1918)",5,1912-02-02,Article,50,N,0,http://nla.gov.au/nla.news-article193306817,http://trove.nla.gov.au/newspaper/page/20214963
189485335,"Perth-Sydney in Six Hours 13 Minutes SYDNEY, Sunday. --An",809,"The Age (Melbourne, Vic. : 1854 - 1954)",1,1949-10-10,Article,249,N,0,http://nla.gov.au/nla.news-article189485335,http://trove.nla.gov.au/newspaper/page/19603235
198876366,"Perth To Sydney In In 9 Hours 32 Mins. SYDNEY, Tuesday.",943,"The Evening News (Rockhampton, Qld. : 1924 - 1941)",5,1934-09-12,Article,132,N,0,http://nla.gov.au/nla.news-article198876366,http://trove.nla.gov.au/newspaper/page/21930398
4041504,BY AIR AND RAIL. SYDNEY-PERTH IN 35 HOURS. DEMONSTRATION JOURNEY SOON.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",12,1929-10-04,Article,492,N,0,http://nla.gov.au/nla.news-article4041504,http://trove.nla.gov.au/newspaper/page/473210
11057234,PERTH TO SYDNEY IN 30 HOURS Plane Brings Mails,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",13,1937-04-16,Article,270,N,0,http://nla.gov.au/nla.news-article11057234,http://trove.nla.gov.au/newspaper/page/581125
16351652,AIRMEN ARRIVE. Perth to Sydney Flight. 2200 MILES IN 30 HOURS.,35,The Sydney Morning Herald (NSW : 1842 - 1954),11,1927-02-01,Article,353,N,0,http://nla.gov.au/nla.news-article16351652,http://trove.nla.gov.au/newspaper/page/1208843
16484923,WEST TO EAST. Flight from Perth. 25 HOURS TO SYDNEY.,35,The Sydney Morning Herald (NSW : 1842 - 1954),15,1928-08-08,Article,445,N,0,http://nla.gov.au/nla.news-article16484923,http://trove.nla.gov.au/newspaper/page/1200625
29938225,"AVIATOR MISSING Sydney-Perth Flight 36 Hours Overdue KALGOORLIE, December 31.",10,"The Mercury (Hobart, Tas. : 1860 - 1954)",5,1932-01-01,Article,149,N,0,http://nla.gov.au/nla.news-article29938225,http://trove.nla.gov.au/newspaper/page/1813893
83662096,SYDNEY MAILS GAIN 18 HOURS Effect of New Air Service PERTH BENEFITS,275,"The Daily News (Perth, WA : 1882 - 1950)",8 S,1935-09-24,Article,223,N,0,http://nla.gov.au/nla.news-article83662096,http://trove.nla.gov.au/newspaper/page/8416775
85162626,PERTH-ADELAIDE SIX HOURS Kingsford Smith's Great Flight. RESTED 40 MINUTED; THEN OFF TO SYDNEY,275,"The Daily News (Perth, WA : 1882 - 1950)",1 S,1934-09-11,Article,868,N,0,http://nla.gov.au/nla.news-article85162626,http://trove.nla.gov.au/newspaper/page/8408756
85591427,Night Flying Bring Sydney Within 16 Hours Of Perth MODERN PLANES CAN DO IT,275,"The Daily News (Perth, WA : 1882 - 1950)",2 S,1937-02-20,Article,771,Y,0,http://nla.gov.au/nla.news-article85591427,http://trove.nla.gov.au/newspaper/page/8399212
85591497,Night Flying Will Bring Sydney Within 16 Hours Of Perth MODERN PLANES CAN DO IT,275,"The Daily News (Perth, WA : 1882 - 1950)",3 S,1937-02-20,Article,715,Y,0,http://nla.gov.au/nla.news-article85591497,http://trove.nla.gov.au/newspaper/page/8399213
